,공연시설코드,시설특성,개관연도,주소,편의시설_레스토랑 여부,편의시설_카페 여부,편의시설_편의점 여부,편의시설_놀이방 여부,편의시설_수유실 여부,장애인시설_주차장 여부,장애인시설_화장실 여부,장애인시설_경사로 여부,장애인시설_전용엘리베이터 여부,주차시설_자체 여부,주차시설_공영 여부,공연장코드,좌석수,장애인석,무대시설_오케스트라피트 여부,무대시설_연습실 여부,무대시설_분장실 여부,무대시설_무대넓이
193665,FC222322,민간(대학로 외),2004.0,서울특별시 서초구 명달로 104 (서초동) ,Y,N,N,N,N,N,N,N,N,Y,N,FC222322-01,201,N,N,Y,Y,
193671,FC222356,공공(문예회관),1997.0,경기도 양주시 광적면 부흥로618번길 303 양주문화예술회관 양주문화예술회관,N,N,N,N,N,N,Y,Y,N,Y,N,FC222356-01,311,5,N,N,Y,12.6X7.5X6
193819,FC222239,공공(문예회관),1991.0,경기도 수원시 팔달구 효원로307번길 20 (인계동) 경기도문화의전당 경기도문화의전당,Y,N,N,N,N,Y,Y,N,N,Y,N,FC222239-03,1541,20,Y,Y,Y,899
201212,FC223646,민간(대학로),2014.0,서울특별시 성북구 성북로2길 21 - 0 태고종선부암 엘리트리빙텔 지하1층,N,N,N,N,N,N,N,N,N,N,N,FC223646-01,50,N,N,Y,Y,6X6
201219,FC222958,민간(대학로),2005.0,서울특별시 종로구 대학로10길 24 (동숭동) 3층,N,N,N,N,N,N,N,N,N,N,N,FC222958-01,175,N,N,N,Y,
202472,FC222675,민간(대학로),1996.0,서울특별시 종로구 동숭길 39 (동숭동) 지하,Y,Y,N,N,N,N,N,N,N,N,N,FC222675-02,129,N,N,N,Y,
211307,FC222675,민간(대학로),1996.0,서울특별시 종로구 동숭길 39 (동숭동) 지하,Y,Y,N,N,N,N,N,N,N,N,N,FC222675-03,123,N,N,N,Y,
211992,FC222789,공공(기타),2009.0,서울특별시 강북구 월계로 173 (번동) 북서울꿈의숲,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,FC222789-02,301,3,N,Y,Y,86.25
212811,FC222961,민간(대학로),2017.0,서울특별시 종로구 대학로8가길 36 (동숭동) 3층,Y,N,N,N,N,N,N,N,N,N,N,FC222961-01,163,N,N,N,Y,179.0
212992,FC222961,민간(대학로),2017.0,서울특별시 종로구 대학로8가길 36 (동숭동) 3층,Y,N,N,N,N,N,N,N,N,N,N,FC222961-01,163,N,N,N,Y,179
213258,FC222974,민간(대학로 외),2007.0,대전광역시 중구 선화서로 2 (대흥동) 지하 1층,N,N,N,N,N,N,N,N,N,N,Y,FC222974-01,85,N,N,Y,Y,77
213260,FC222313,공공(문예회관),1990.0,대구광역시 달서구 공원순환로 201 (성당동) ,N,N,N,N,N,Y,N,N,N,Y,N,FC222313-01,239,3,N,N,N,68
213378,FC222313,공공(문예회관),1990.0,대구광역시 달서구 공원순환로 201 (성당동) ,N,N,N,N,N,Y,N,N,N,Y,N,FC222313-02,1008,10,Y,N,N,5268
213505,FC222484,공공(문예회관),2010.0,제주특별자치도 제주시 오남로 231 (오라이동) ,N,Y,N,Y,N,Y,Y,Y,N,Y,N,FC222484-01,1184,12,Y,Y,Y,5252
219414,FC222206,공공(문예회관),2003.0,울산광역시 북구 산업로 1000 (연암동) ,N,N,N,N,N,Y,Y,Y,Y,Y,N,FC222206-01,453,8,N,Y,Y,352.86
220035,FC222981,민간(대학로),1987.0,서울특별시 종로구 동숭길 50 (동숭동) ,N,N,N,N,N,N,N,N,N,N,N,FC222981-01,130,N,N,N,Y,8X6
220153,FC223478,공공(문예회관),2007.0,경상북도 포항시 남구 시청로 1 (대잠동) ,N,N,N,N,Y,Y,Y,N,Y,Y,N,FC223478-01,596,4,N,N,Y,355
