,연령대,성별,지역,가입경로,마케팅동의,회원구분,총구매금액,실결제금액,매장방문수,적립금,사용적립금,탈퇴여부
3977,미입력,남자,선택,pc,F,전화주문 고객,61600.0,61600.0,1.0,0.0,0.0,F
2653,미입력,미입력,미입력,pc,F,일반,4742770.0,3975670.0,6.0,71700.0,70600.0,T
1137,미입력,미입력,선택,pc,F,전화주문 고객,642130.0,588420.0,0.0,0.0,0.0,F
3063,미입력,미입력,선택,pc,F,사업자,35900.0,20900.0,0.0,1410.0,0.0,T
108,미입력,미입력,미입력,pc,F,일반,162190.0,161190.0,1.0,2600.0,1000.0,F
3932,미입력,미입력,선택,pc,F,일반,35050.0,30050.0,0.0,0.0,0.0,F
1030,미입력,미입력,선택,pc,F,전화주문 고객,192720.0,165620.0,0.0,0.0,0.0,F
2475,미입력,미입력,선택,pc,F,전화주문 고객,665940.0,362320.0,0.0,0.0,0.0,F
2238,미입력,미입력,선택,pc,F,전화주문 고객,408110.0,360210.0,0.0,0.0,0.0,F
1782,미입력,미입력,선택,pc,F,전화주문 고객,105600.0,89800.0,0.0,0.0,0.0,T
570,미입력,미입력,미입력,pc,F,일반,36510.0,12750.0,1.0,1000.0,0.0,F
2758,미입력,미입력,미입력,pc,F,전화주문 고객,348200.0,126280.0,0.0,0.0,0.0,F
3828,미입력,미입력,선택,pc,F,사업자,343800.0,277800.0,0.0,1110.0,0.0,F
2783,미입력,미입력,미입력,pc,F,전화주문 고객,69400.0,59400.0,0.0,0.0,0.0,F
1760,미입력,미입력,선택,pc,F,사업자,124820.0,104920.0,0.0,4140.0,0.0,F
2390,미입력,미입력,선택,pc,F,전화주문 고객,117300.0,102300.0,0.0,0.0,0.0,F
784,미입력,미입력,선택,pc,F,사업자,195320.0,172120.0,0.0,3500.0,2700.0,T
1517,미입력,미입력,선택,pc,F,전화주문 고객,47390.0,37890.0,0.0,0.0,0.0,F
3305,미입력,미입력,선택,pc,F,전화주문 고객,1265530.0,1087130.0,0.0,0.0,0.0,T
445,미입력,미입력,선택,pc,F,사업자,340810.0,340810.0,0.0,2400.0,0.0,T
3889,미입력,미입력,선택,pc,F,일반,590060.0,456144.0,0.0,9196.0,6376.0,F
3058,미입력,미입력,선택,pc,F,사업자,188550.0,141550.0,0.0,1700.0,0.0,T
2075,미입력,미입력,선택,pc,F,전화주문 고객,138270.0,0.0,0.0,0.0,0.0,T
462,미입력,미입력,선택,pc,F,사업자,109550.0,109550.0,2.0,2500.0,0.0,T
1518,미입력,미입력,선택,pc,F,전화주문 고객,258860.0,229880.0,0.0,0.0,0.0,F
2362,미입력,미입력,선택,pc,F,전화주문 고객,267580.0,217580.0,0.0,0.0,0.0,F
1318,미입력,미입력,선택,pc,F,사업자,66500.0,54500.0,0.0,1200.0,0.0,F
1590,미입력,미입력,선택,pc,F,사업자,542270.0,459320.0,2.0,3000.0,2500.0,T
1521,미입력,미입력,선택,pc,F,사업자,151470.0,118170.0,5.0,1500.0,0.0,T
2625,미입력,미입력,선택,pc,F,전화주문 고객,232190.0,205610.0,0.0,0.0,0.0,F
186,미입력,미입력,선택,pc,F,전화주문 고객,96920.0,96920.0,0.0,1000.0,0.0,F
254,미입력,미입력,미입력,pc,F,일반,182390.0,182390.0,0.0,1500.0,0.0,F
1082,미입력,미입력,선택,pc,F,전화주문 고객,482500.0,378150.0,0.0,0.0,0.0,T
2518,미입력,남자,선택,pc,F,사업자,4372050.0,3632540.0,17.0,20390.0,19190.0,T
3257,미입력,미입력,선택,pc,F,사업자,7007440.0,5852290.0,6.0,38590.0,30890.0,T
469,미입력,미입력,선택,pc,F,사업자,86770.0,86770.0,2.0,2600.0,0.0,F
2023,미입력,미입력,선택,pc,F,사업자,548980.0,453790.0,0.0,13690.0,10990.0,T
3476,미입력,미입력,미입력,pc,F,일반,72600.0,72600.0,0.0,2450.0,0.0,T
322,미입력,미입력,선택,pc,F,사업자,57850.0,57850.0,0.0,2100.0,0.0,F
265,미입력,미입력,선택,pc,F,전화주문 고객,268810.0,199840.0,0.0,1000.0,0.0,F
1769,미입력,미입력,선택,pc,F,사업자,286770.0,236370.0,0.0,6350.0,0.0,T
1191,미입력,미입력,선택,pc,F,사업자,124080.0,67220.0,0.0,1200.0,0.0,F
3482,미입력,미입력,선택,pc,F,전화주문 고객,7107830.0,5693890.0,0.0,0.0,0.0,T
2007,미입력,미입력,미입력,pc,F,일반,77220.0,67820.0,0.0,1660.0,0.0,F
1312,미입력,미입력,미입력,pc,F,일반,666250.0,321310.0,1.0,5740.0,0.0,F
2484,미입력,미입력,선택,pc,F,전화주문 고객,147480.0,132480.0,0.0,0.0,0.0,F
3264,미입력,미입력,미입력,pc,F,일반,6407540.0,4264970.0,23.0,76910.0,76110.0,T
321,미입력,미입력,선택,pc,F,전화주문 고객,99350.0,99350.0,0.0,0.0,0.0,F
