,LOT번호,작업명,설비번호,단위중량(kg),투입중량(kg),투입액량(L),염색길이(m),공정진행시간(%),목표온도,지시온도,진행온도,목표대비 진행온도,지시대비 진행온도,포속1,포속2,포속3,포속4,염색색차 DE
16416,F2207080049,원단검사,FCM08,450,95.8,1000,72.0,63.17,0,128.8,128.5,0.0,0.997670807453416,56,400,50,384,1.355596
34043,F2209010106,원단검사,FCM11,604,234.2,4000,433.0,45.89,0,132.0,130.7,0.0,0.9901515151515152,82,60,95,52,1.696731
26813,F2208110087,원단검사,FCM05,620,189.8,2000,266.0,53.11,0,70.0,68.8,0.0,0.9828571428571428,84,135,87,106,0.3338742
10969,F2206090076,원단검사,FCM05,485,113.0,2000,267.0,99.1,0,30.0,32.1,0.0,1.07,76,184,74,155,5.026582
30310,F2208260120,원단검사,FCM12,450,53.2,600,100.0,45.0,0,116.7,115.9,0.0,0.9931448157669236,60,54,0,0,0.7367827
25758,F2208090013,염색,FCM08,800,66.0,1000,69.0,73.96,0,128.9,129.1,0.0,1.0015515903801395,29,535,29,426,0.768085
3521,F2202210105,원단검사,FCM07,560,341.6,4000,545.0,96.26,0,30.0,29.8,0.0,0.9933333333333334,103,118,99,124,1.958902
22953,F2208030136,원단검사,FCM05,480,156.4,2000,242.0,1.91,50,30.0,30.8,0.616,1.0266666666666666,11,2,102,2,2.855713
23572,F2208030137,원단검사,FCM08,480,82.4,1000,128.0,79.59,0,89.4,89.7,0.0,1.0033557046979866,8,295,8,244,2.207412
379,F2201280039,원단검사,FCM08,324,44.6,1000,41.0,73.5,0,70.0,68.4,0.0,0.9771428571428572,67,327,384,96,0.7530965
13339,F2206290331,원단검사,FCM08,560,71.1,1000,71.0,63.68,0,77.0,77.8,0.0,1.0103896103896104,8,236,128,50,14.40188
8227,F2204080072,원단검사,FCM05,450,129.0,2000,92.0,64.83,0,56.0,80.3,0.0,1.4339285714285714,26,235,82,151,1.000596
25715,F2208090013,염색,FCM08,800,66.0,1000,69.0,57.74,0,70.2,70.8,0.0,1.0085470085470083,9,394,9,317,0.768085
21694,F2207290029,원단검사,FCM05,350,128.0,2000,273.0,3.47,40,30.0,28.7,0.7175,0.9566666666666668,98,1,123,1,0.2007852
19003,F2207250116,염색,FCM15,146,189.6,4000,1600.0,83.85,0,80.0,83.0,0.0,1.0375,133,85,118,102,0.3985579
31941,F2208300093,원단검사,FCM12,460,49.8,600,7.0,90.61,0,61.7,51.7,0.0,0.8379254457050244,44,27,0,0,2.185405
29346,F2208220028,원단검사,FCM12,350,35.0,600,87.0,87.04,0,70.0,68.5,0.0,0.9785714285714284,53,161,0,0,3.341123
19673,F2207270052,원단검사,FCM05,450,124.8,2000,227.0,0.48,30,30.0,30.4,1.0133333333333332,1.0133333333333332,51,1,0,0,3.592049
23857,F2208040015,원단검사,FCM05,536,168.1,2000,1.0,61.4,0,22.7,80.3,0.0,3.537444933920705,93,172,106,108,0.8125136
20014,F2207270052,원단검사,FCM05,450,124.8,2000,227.0,82.65,0,129.1,127.2,0.0,0.9852827265685516,71,458,78,356,3.592049
